NAME,TICKER,COUNTRY,ICB,INDUS,SUP SEC,SEC,SUB SEC
Newell Rubbermaid Inc.,NWL,United States,3722,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Durable Household Products
Avnet Inc.,AVT,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
Vulcan Materials Co.,VMC,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Energizer Holdings Inc.,ENR,United States,3724,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Nondurable Household Products
Interpublic Group of Cos.,IPG,United States,5555,Consumer Services,Media,Media,Media Agencies
Airgas Inc.,ARG,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Iron Mountain Inc.,IRM,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
TransDigm Group Inc.,TDG,United States,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
Sociedad Quimica y Minera De Chile S.A.,SQM,Chile,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
SM Energy Co.,SM,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Scana Corp.,SCG,United States,7575,Utilities,Utilities,Gas, Water & Multiutilities,Multiutilities
Advanced Semiconductor Engineering Inc.,ASX,Taiwan,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
LG Display Co. Ltd.,LPL,South Korea,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
MeadWestvaco Corp.,MWV,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
OGE Energy Corp.,OGE,United States,0577,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Pipelines
Wipro Ltd.,WIT,India,9533,Technology,Technology,Software & Computer Services,Computer Services
Pinnacle West Capital Corp.,PNW,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Carnival PLC,CUK,United Kingdom,5755,Consumer Services,Travel & Leisure,Travel & Leisure,Recreational Services
Equifax Inc.,EFX,United States,8775,Financials,Financial Services,Financial Services,Specialty Finance
Torchmark Corp.,TMK,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
Luxottica Group S.p.A.,LUX,Italy,3763,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories
Southern Union Co.,SUG,United States,,,,,,,,
Dollar General Corp.,DG,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
Tempur-Pedic International Inc.,TPX,United States,3726,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Furnishings
AGCO Corp.,AGCO,United States,2753,Industrials,Industrial Goods & Services,Industrial Engineering,Commerical Vehicles & Trucks
Donaldson Co. Inc.,DCI,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
PVH Corp.,PVH,United States,3763,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories
Enersis S.A.,ENI,Chile,7535,Utilities,Utilities,Electricity,Conventional Electricity
Xylem Inc.,XYL,United States,7577,Utilities,Utilities,Gas, Water & Multiutilities,Water
H&R Block Inc.,HRB,United States,5377,Consumer Services,Retail,General Retailers,Specialized Consumer Services
Harris Corp.,HRS,United States,9578,Technology,Technology,Technology Hardware & Equipment,Telecommunications Equipment
Jabil Circuit Inc.,JBL,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
Realty Income Corp.,O,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Computer Sciences Corp.,CSC,United States,9533,Technology,Technology,Software & Computer Services,Computer Services
Rowan Cos. Inc.,RDC,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Newfield Exploration Co.,NFX,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
LSI Corp.,LSI,United States,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
VeriFone Systems Inc.,PAY,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
NSTAR,NST,United States,,,,,,,,
Yanzhou Coal Mining Co. Ltd.,YZC,China,1771,Basic Materials,Basic Resources,Mining,Coal
Rock-Tenn Co. Cl A,RKT,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
Coventry Health Care Inc.,CVH,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
STMicroelectronics N.V.,STM,Italy,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
Ivanhoe Mines Ltd.,IVN,Canada,1755,Basic Materials,Basic Resources,Industrial Metals & Mining,Nonferrous Metals
Lear Corp.,LEA,United States,3355,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Auto Parts
Essex Property Trust Inc.,ESS,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
CGI Group Inc. Cl A,GIB,Canada,9533,Technology,Technology,Software & Computer Services,Computer Services
Alliant Energy Corp.,LNT,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Harmony Gold Mining Co. Ltd.,HMY,South Africa,1777,Basic Materials,Basic Resources,Mining,Gold Mining
TRW Automotive Holdings Corp.,TRW,United States,3355,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Auto Parts
Veolia Environnement S.A.,VE,France,7577,Utilities,Utilities,Gas, Water & Multiutilities,Water
Allegheny Technologies Inc.,ATI,United States,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
Banco de Chile,BCH,Chile,8355,Financials,Banks,Banks,Banks
AGL Resources Inc.,GAS,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
Transalta Corp.,TAC,Canada,7535,Utilities,Utilities,Electricity,Conventional Electricity
Cobalt International Energy Inc.,CIE,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Superior Energy Services Inc.,SPN,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
International Flavors & Fragrances Inc.,IFF,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Alpha Natural Resources Inc.,ANR,United States,1771,Basic Materials,Basic Resources,Mining,Coal
International Game Technology,IGT,United States,5752,Consumer Services,Travel & Leisure,Travel & Leisure,Gambling
Arrow Electronics Inc.,ARW,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
Brookfield Office Properties Inc.,BPO,Canada,8633,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development
MGM Resorts International,MGM,United States,5752,Consumer Services,Travel & Leisure,Travel & Leisure,Gambling
Camden Property Trust,CPT,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
Ashland Inc.,ASH,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Chicago Bridge & Iron Co. N.V.,CBI,Netherlands,2357,Industrials,Construction & Materials,Construction & Materials,Heavy Construction
Genworth Financial Inc. Cl A,GNW,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
IHS Inc. Cl A,IHS,United States,5557,Consumer Services,Media,Media,Publishing
Pepco Holdings Inc.,POM,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
HCA Holdings Inc.,HCA,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
CGG Veritas,CGV,France,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
LAN Airlines S.A.,LFL,Chile,5751,Consumer Services,Travel & Leisure,Travel & Leisure,Airlines
Foot Locker Inc.,FL,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Diamond Offshore Drilling Inc.,DO,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Alexandria Real Estate Equities Inc.,ARE,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Oil States International Inc.,OIS,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
SK Telecom Co. Ltd.,SKM,South Korea,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
PartnerRe Ltd.,PRE,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
Quanta Services Inc.,PWR,United States,2357,Industrials,Construction & Materials,Construction & Materials,Heavy Construction
Polaris Industries Inc.,PII,United States,3745,Consumer Goods,Personal & Household Goods,Leisure Goods,Recreational Products
ResMed Inc.,RMD,United States,4535,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment
Corn Products International Inc.,CPO,United States,,,,,,,,
Dick's Sporting Goods Inc.,DKS,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
NRG Energy Inc.,NRG,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
SAIC Inc.,SAI,United States,9533,Technology,Technology,Software & Computer Services,Computer Services
Advanced Micro Devices Inc.,AMD,United States,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
Total System Services Inc.,TSS,United States,2795,Industrials,Industrial Goods & Services,Support Services,Financial Administration
Abercrombie & Fitch Co.,ANF,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Reinsurance Group of America Inc.,RGA,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
Integrys Energy Group Inc.,TEG,United States,7575,Utilities,Utilities,Gas, Water & Multiutilities,Multiutilities
AU Optronics Corp.,AUO,Taiwan,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Sunoco Inc.,SUN,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Robert Half International Inc.,RHI,United States,2793,Industrials,Industrial Goods & Services,Support Services,Business Training & Employment Agencies
Embraer S/A,ERJ,Brazil,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
Dr. Reddy's Laboratories Ltd.,RDY,India,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Signet Jewelers Ltd.,SIG,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Timken Co.,TKR,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Hormel Foods Corp.,HRL,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Masco Corp.,MAS,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
MSCI Inc. Cl A,MSCI,United States,8775,Financials,Financial Services,Financial Services,Specialty Finance
Walter Energy Inc.,WLT,United States,1771,Basic Materials,Basic Resources,Mining,Coal
Axis Capital Holdings Ltd.,AXS,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Ralcorp Holdings Inc.,RAH,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
W.R. Berkley Corp.,WRB,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Global Payments Inc.,GPN,United States,2795,Industrials,Industrial Goods & Services,Support Services,Financial Administration
Assurant Inc.,AIZ,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
Dresser-Rand Group Inc.,DRC,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Reliance Steel & Aluminum Co.,RS,United States,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
Dun & Bradstreet Corp.,DNB,United States,5557,Consumer Services,Media,Media,Publishing
Constellation Brands Inc. Cl A,STZ,United States,3535,Consumer Goods,Food & Beverage,Beverages,Distillers & Vintners
Owens-Illinois Inc.,OI,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
United States Steel Corp.,X,United States,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
Valspar Corp.,VAL,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Hubbell Inc. Cl B,HUB/B,United States,2733,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment
Taubman Centers Inc.,TCO,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
WABCO Holdings Inc.,WBC,United States,3355,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Auto Parts
Energen Corp.,EGN,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Markel Corp.,MKL,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Martin Marietta Materials Inc.,MLM,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Omnicare Inc.,OCR,United States,5333,Consumer Services,Retail,Food & Drug Retailers,Drug Retailers
Everest Re Group Ltd.,RE,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
Tesoro Corp.,TSO,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Companhia de Saneamento Basico do Estado de Sao Paul,SBS,Brazil,7577,Utilities,Utilities,Gas, Water & Multiutilities,Water
Scripps Networks Interactive Inc. Cl A,SNI,United States,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
Universal Health Services Inc. Cl B,UHS,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
National Fuel Gas Co.,NFG,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
VimpelCom Ltd.,VIP,Russia,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
Royal Caribbean Cruises Ltd.,RCL,United States,5755,Consumer Services,Travel & Leisure,Travel & Leisure,Recreational Services
Turkcell Iletisim Hizmetleri A.S.,TKC,Turkey,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
D.R. Horton Inc.,DHI,United States,3728,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Home Construction
Liberty Property Trust,LRY,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Arthur J. Gallagher & Co.,AJG,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Regency Centers Corp.,REG,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Fidelity National Financial Inc.,FNF,United States,8779,Financials,Financial Services,Financial Services,Mortgage Finance
ITC Holdings Corp.,ITC,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
SPX Corp.,SPW,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
MetroPCS Communications Inc.,PCS,United States,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
MDU Resources Group Inc.,MDU,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Pentair Inc.,PNR,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Kirby Corp.,KEX,United States,2773,Industrials,Industrial Goods & Services,Industrial Transportation,Marine Transportation
Sealed Air Corp.,SEE,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
Thomas & Betts Corp.,TNB,United States,,,,,,,,
RenaissanceRe Holdings Ltd.,RNR,United States,8538,Financials,Insurance,Nonlife Insurance,Reinsurance
Tupperware Brands Corp.,TUP,United States,3722,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Durable Household Products
Rockwood Holdings Inc.,ROC,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
NV Energy Inc.,NVE,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Cooper Cos.,COO,United States,4537,Health Care,Health Care,Health Care Equipment & Services,Medical Supplies
Level 3 Communications Inc.,LVLT,United States,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
TransAtlantic Holdings Inc.,TRH,United States,,,,,,,,
BRE Properties Inc.,BRE,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
ManpowerGroup,MAN,United States,2793,Industrials,Industrial Goods & Services,Support Services,Business Training & Employment Agencies
URS Corp.,URS,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Legg Mason Inc.,LM,United States,8771,Financials,Financial Services,Financial Services,Asset Managers
MSC Industrial Direct Co.,MSM,United States,2797,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers
Mednax Inc.,MD,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Kinder Morgan Inc.,KMI,United States,0577,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Pipelines
Woori Finance Holdings Co. Ltd.,WF,South Korea,8355,Financials,Banks,Banks,Banks
FactSet Research Systems Inc.,FDS,United States,5557,Consumer Services,Media,Media,Publishing
WPX Energy,WPX,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Williams-Sonoma Inc.,WSM,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
Coca-Cola Hellenic Bottling Co. S.A.,CCH,Greece,3537,Consumer Goods,Food & Beverage,Beverages,Soft Drinks
Gannett Co. Inc.,GCI,United States,5557,Consumer Services,Media,Media,Publishing
Teco Energy Inc.,TE,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Gardner Denver Inc.,GDI,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Kennametal Inc.,KMT,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Sterlite Industries (India) Ltd.,SLT,India,1755,Basic Materials,Basic Resources,Industrial Metals & Mining,Nonferrous Metals
Ultra Petroleum Corp.,UPL,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Cablevision Systems Corp.,CVC,United States,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
Portugal Telecom SGPS S/A,PT,Portugal,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Smithfield Foods Inc.,SFD,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Gartner Inc.,IT,United States,9533,Technology,Technology,Software & Computer Services,Computer Services
Raymond James Financial Inc.,RJF,United States,8777,Financials,Financial Services,Financial Services,Investment Services
Waste Connections Inc.,WCN,United States,2799,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services
Senior Housing Properties Trust,SNH,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
IDEX Corp.,IEX,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Jones Lang LaSalle Inc.,JLL,United States,8637,Financials,Real Estate,Real Estate Investment & Services,Real Estate Services
Snap-On Inc.,SNA,United States,3722,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Durable Household Products
Wabtec,WAB,United States,2753,Industrials,Industrial Goods & Services,Industrial Engineering,Commerical Vehicles & Trucks
Duke Realty Corp.,DRE,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Questar Corp.,STR,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
Harman International Industries Inc.,HAR,United States,3743,Consumer Goods,Personal & Household Goods,Leisure Goods,Consumer Electronics
Owens Corning,OC,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Lennar Corp. Cl A,LEN,United States,3728,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Home Construction
W.R. Grace & Co.,GRA,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Solera Holdings Inc.,SLH,United States,9537,Technology,Technology,Software & Computer Services,Software
Domtar Corp.,UFS,United States,1737,Basic Materials,Basic Resources,Forestry & Paper,Paper
KT Corp.,KT,South Korea,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Hertz Global Holdings Inc.,HTZ,United States,5759,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism
Mohawk Industries Inc.,MHK,United States,3726,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Furnishings
Health Net Inc.,HNT,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Lazard Ltd.,LAZ,United States,8777,Financials,Financial Services,Financial Services,Investment Services
NCR Corp.,NCR,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Telecom Corp. of New Zealand Ltd.,NZT,New Zealand,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Solutia Inc.,SOA,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Towers Watson & Co. Cl A,TW,United States,2791,Industrials,Industrial Goods & Services,Support Services,Business Support Services
Eaton Vance Corp.,EV,United States,8771,Financials,Financial Services,Financial Services,Asset Managers
NVR Inc.,NVR,United States,3728,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Home Construction
Toll Brothers Inc.,TOL,United States,3728,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Home Construction
SandRidge Energy Inc.,SD,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Under Armour Inc. Cl A,UA,United States,3763,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories
New Oriental Education & Technology Group Inc.,EDU,China,5377,Consumer Services,Retail,General Retailers,Specialized Consumer Services
Pitney Bowes Inc.,PBI,United States,9574,Technology,Technology,Technology Hardware & Equipment,Electronic Office Equipment
AMERIGROUP Corp.,AGP,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Precision Drilling Corp.,PDS,Canada,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
HCC Insurance Holdings Inc.,HCC,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
American Financial Group Inc.,AFG,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Aptargroup Inc.,ATR,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
Avery Dennison Corp.,AVY,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Cullen/Frost Bankers Inc.,CFR,United States,8355,Financials,Banks,Banks,Banks
Sally Beauty Holdings Inc.,SBH,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
McDermott International Inc.,MDR,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
RPM International Inc.,RPM,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
Jarden Corp.,JAH,United States,3722,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Durable Household Products
Provident Energy Ltd.,PVX,Canada,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Sonoco Products Co.,SON,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
Clean Harbors Inc.,CLH,United States,2799,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services
Alumina Ltd.,AWC,Australia,1753,Basic Materials,Basic Resources,Industrial Metals & Mining,Aluminum
Westar Energy Inc.,WR,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Bemis Co. Inc.,BMS,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
Leggett & Platt Inc.,LEG,United States,3726,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Furnishings
Banco Santander-Chile,SAN,Chile,8355,Financials,Banks,Banks,Banks
DDR Corp.,DDR,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Goodyear Tire & Rubber Co.,GT,United States,3357,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Tires
UGI Corp.,UGI,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
GameStop Corp. Cl A,GME,United States,5379,Consumer Services,Retail,General Retailers,Specialty Retailers
Navistar International Corp.,NAV,United States,2753,Industrials,Industrial Goods & Services,Industrial Engineering,Commerical Vehicles & Trucks
National Bank of Greece S.A.,NBG,Greece,8355,Financials,Banks,Banks,Banks
Nu Skin Enterprises Inc. Cl A,NUS,United States,3767,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products
Tidewater Inc.,TDW,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Chimera Investment Corp.,CIM,United States,8676,Financials,Real Estate,Real Estate Investment Trusts,Mortgage Real Estate Investment Trusts
Hospitality Properties Trust,HPT,United States,8677,Financials,Real Estate,Real Estate Investment Trusts,Hotel & Lodging Real Estate Investment Trusts
Aqua America Inc.,WTR,United States,7577,Utilities,Utilities,Gas, Water & Multiutilities,Water
White Mountains Insurance Group Ltd.,WTM,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Graco Inc.,GGG,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
World Fuel Services Corp.,INT,United States,2777,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services
PerkinElmer Inc.,PKI,United States,2737,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment
Piedmont Office Realty Trust Inc. Cl A,PDM,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Apartment Investment & Management Co.,AIV,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
Broadridge Financial Solutions Inc.,BR,United States,2795,Industrials,Industrial Goods & Services,Support Services,Financial Administration
Babcock & Wilcox Co.,BWC,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
Arch Coal Inc.,ACI,United States,1771,Basic Materials,Basic Resources,Mining,Coal
Carlisle Cos.,CSL,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
Gildan Activewear Inc.,GIL,Canada,3763,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories
Teradyne Inc.,TER,United States,9576,Technology,Technology,Technology Hardware & Equipment,Semiconductors
WellCare Health Plans Inc.,WCG,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Centrais Eletricas Brasileiras S/A,EBR,Brazil,7537,Utilities,Utilities,Electricity,Alternative Electricity
Weingarten Realty Investors,WRI,United States,8672,Financials,Real Estate,Real Estate Investment Trusts,Retail Real Estate Investment Trusts
Assured Guaranty Ltd.,AGO,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Ingram Micro Inc. Cl A,IM,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Fortune Brands Home & Security Inc.,FBHS,United States,2353,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures
Kilroy Realty Corp.,KRC,United States,8671,Financials,Real Estate,Real Estate Investment Trusts,Industrial & Office Real Estate Investment Trusts
Lexmark International Inc.,LXK,United States,9572,Technology,Technology,Technology Hardware & Equipment,Computer Hardware
Packaging Corp. of America,PKG,United States,2723,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging
Covance Inc.,CVD,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
Cytec Industries Inc.,CYT,United States,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
BioMed Realty Trust Inc.,BMR,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
American Campus Communities Inc.,ACC,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
Atmos Energy Corp.,ATO,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
Big Lots Inc.,BIG,United States,5373,Consumer Services,Retail,General Retailers,Broadline Retailers
PulteGroup Inc.,PHM,United States,3728,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Home Construction
Home Properties Inc.,HME,United States,8673,Financials,Real Estate,Real Estate Investment Trusts,Residential Real Estate Investment Trusts
